type,size,doc,inputSplit,reducer,time,memory,data
hadoop,512MB,20doc,20,5,95514,6442082304,2025-05-23 14:54:57
hadoop,1GB,20doc,20,5,168937,6561865728,2025-05-23 14:57:53
hadoop,2GB,20doc,25,5,253811,8186286080,2025-05-23 15:02:14
hadoop,512KB,20doc,20,15,42635,7452123136,2025-05-23 15:03:03
hadoop,1MB,20doc,20,15,43798,7658496000,2025-05-23 15:03:54
hadoop,512MB,20doc,20,15,106489,8187916288,2025-05-23 15:05:47
hadoop,1GB,20doc,20,15,158511,8248700928,2025-05-23 15:08:32
hadoop,2GB,20doc,25,15,247853,9889341440,2025-05-23 15:12:47
hadoop,512KB,20doc,20,15,42528,7645749248,2025-05-23 15:13:37
hadoop,1MB,20doc,20,15,42937,7526260736,2025-05-23 15:14:27
hadoop,512MB,20doc,20,15,113179,8153415680,2025-05-23 15:16:27
hadoop,1GB,20doc,20,15,138308,8183132160,2025-05-23 15:18:52
hadoop,2GB,20doc,25,15,260591,9878261760,2025-05-23 15:23:20
hadoop,512KB,20doc,20,15,46129,7609266176,2025-05-23 15:24:13
hadoop,1MB,20doc,20,15,43322,7615959040,2025-05-23 15:25:03
hadoop,512MB,20doc,20,15,107875,8123985920,2025-05-23 15:26:58
hadoop,1GB,20doc,20,15,151729,8271601664,2025-05-23 15:29:36
hadoop,2GB,20doc,25,15,237661,9873702912,2025-05-23 15:33:40
