type,size,doc,input_partitions,real_partition,time,date
spark,1GB,20doc,-1,10,236727,2025-05-25 07:01:53
spark,2GB,20doc,-1,20,429665,2025-05-25 07:09:22
spark,512KB,20doc,-1,2,29136,2025-05-25 07:10:09
spark,1MB,20doc,-1,2,29048,2025-05-25 07:10:55
spark,512MB,20doc,-1,6,163594,2025-05-25 07:13:54
spark,1GB,20doc,-1,10,412538,2025-05-25 07:21:11
spark,2GB,20doc,-1,20,438567,2025-05-25 07:28:51
spark,512KB,20doc,-1,2,31550,2025-05-25 07:29:47
spark,1MB,20doc,-1,2,29726,2025-05-25 07:30:33
spark,512MB,20doc,-1,6,252919,2025-05-25 07:35:05
spark,1GB,20doc,-1,10,388581,2025-05-25 07:41:52
spark,2GB,20doc,-1,20,661924,2025-05-25 07:53:16
spark,512KB,20doc,-1,2,30708,2025-05-25 07:54:10
spark,1MB,20doc,-1,2,30062,2025-05-25 07:54:54
spark,512MB,20doc,-1,6,250262,2025-05-25 07:59:24
spark,1GB,20doc,-1,10,242406,2025-05-25 08:03:46
spark,2GB,20doc,-1,20,596600,2025-05-25 08:14:02
spark,512KB,20doc,5,5,34648,2025-05-25 08:14:56
spark,1MB,20doc,5,5,39162,2025-05-25 08:15:48
spark,512MB,20doc,5,5,257734,2025-05-25 08:20:23
spark,1GB,20doc,5,5,507758,2025-05-25 08:29:10
spark,2GB,20doc,5,5,808015,2025-05-25 08:43:01
spark,512KB,20doc,5,5,32385,2025-05-25 08:43:52
spark,1MB,20doc,5,5,43194,2025-05-25 08:44:50
spark,512MB,20doc,5,5,262741,2025-05-25 08:49:30
spark,1GB,20doc,5,5,459235,2025-05-25 08:57:25
spark,2GB,20doc,5,5,904751,2025-05-25 09:12:51
spark,512KB,20doc,5,5,35453,2025-05-25 09:13:41
spark,1MB,20doc,5,5,42799,2025-05-25 09:14:38
spark,512MB,20doc,5,5,254883,2025-05-25 09:19:07
spark,1GB,20doc,5,5,512852,2025-05-25 09:27:55
spark,2GB,20doc,5,5,1015509,2025-05-25 09:45:09
spark,512KB,20doc,5,5,37475,2025-05-25 09:46:12
spark,1MB,20doc,5,5,31770,2025-05-25 09:46:58
spark,512MB,20doc,5,5,240110,2025-05-25 09:51:14
spark,1GB,20doc,5,5,504142,2025-05-25 09:59:59
spark,2GB,20doc,5,5,753222,2025-05-25 10:12:57
spark,512KB,20doc,15,15,46800,2025-05-25 10:14:04
spark,1MB,20doc,15,15,49645,2025-05-25 10:15:07
spark,512MB,20doc,15,15,268163,2025-05-25 10:19:53
spark,1GB,20doc,15,15,468522,2025-05-25 10:27:59
spark,2GB,20doc,15,15,832306,2025-05-25 10:42:15
spark,512KB,20doc,15,15,35494,2025-05-25 10:43:14
spark,1MB,20doc,15,15,53235,2025-05-25 10:44:24
spark,512MB,20doc,15,15,264602,2025-05-25 10:49:02
spark,1GB,20doc,15,15,484005,2025-05-25 10:57:21
spark,2GB,20doc,15,15,852903,2025-05-25 11:12:03
spark,512KB,20doc,15,15,40249,2025-05-25 11:40:33
spark,1MB,20doc,15,15,40080,2025-05-25 11:41:30
spark,512MB,20doc,15,15,264328,2025-05-25 11:46:14
spark,1GB,20doc,15,15,366211,2025-05-25 11:52:40
spark,2GB,20doc,15,15,617840,2025-05-25 12:03:14
spark,512KB,20doc,15,15,42298,2025-05-25 12:04:27
spark,1MB,20doc,15,15,37515,2025-05-25 12:05:19
spark,512MB,20doc,15,15,267789,2025-05-25 12:10:01
spark,1GB,20doc,15,15,267270,2025-05-25 12:14:50
spark,2GB,20doc,15,15,492340,2025-05-25 12:23:21
